"NO","62671","РИЛА","РИЛА","2630","КЮСТЕНДИЛ","гр."
"NO","62997","РОМАН","РОМАН","3130","ВРАЦА","гр."
"NO","63207","РУДОЗЕМ","РУДОЗЕМ","4960","СМОЛЯН","гр."
"FULL","63427","РУСЕ","РУСЕ","7000","РУСЕ","гр."
"NO","65139","САДОВО","САДОВО","4122","ПЛОВДИВ","гр."
"PARTIAL","65231","САМОКОВ","САМОКОВ","2000","СОФИЯ","гр."
"FULL","65334","САНДАНСКИ","САНДАНСКИ","2800","БЛАГОЕВГРАД","гр."
"NO","65365","САПАРЕВА БАНЯ","САПАРЕВА БАНЯ","2650","КЮСТЕНДИЛ","гр."
"NO","11538","НЕСЕБЪР","СВЕТИ ВЛАС","8256","БУРГАС","гр."
"NO","65677","СВИЛЕНГРАД","СВИЛЕНГРАД","6500","ХАСКОВО","гр."
"NO","65766","СВИЩОВ","СВИЩОВ","5250","ВЕЛИКО ТЪРНОВО","гр."
"NO","65869","СВОГЕ","СВОГЕ","2260","СОФИЯ","гр."
"PARTIAL","65927","СЕВЛИЕВО","СЕВЛИЕВО","5400","ГАБРОВО","гр."
"NO","66229","ВЕТОВО","СЕНОВО","7038","РУСЕ","гр."
"NO","66264","СЕПТЕМВРИ","СЕПТЕМВРИ","4490","ПАЗАРДЖИК","гр."
"FULL","66425","СИЛИСТРА","СИЛИСТРА","7500","СИЛИСТРА","гр."
"NO","47278","СИМЕОНОВГРАД","СИМЕОНОВГРАД","6490","ХАСКОВО","гр."
"NO","66460","СИМИТЛИ","СИМИТЛИ","2730","БЛАГОЕВГРАД","гр."
"NO","67088","ПЛЕВЕН","СЛАВЯНОВО","5840","ПЛЕВЕН","гр."
"FULL","67338","СЛИВЕН","СЛИВЕН","8800","СЛИВЕН","гр."
"NO","67372","СЛИВНИЦА","СЛИВНИЦА","2200","СОФИЯ","гр."
"NO","67444","СЛИВО ПОЛЕ","СЛИВО ПОЛЕ","7060","РУСЕ","гр."
"FULL","67653","СМОЛЯН","СМОЛЯН","4700","СМОЛЯН","гр."
"NO","67708","СМЯДОВО","СМЯДОВО","9820","ШУМЕН","гр."
"NO","67800","СОЗОПОЛ","СОЗОПОЛ","8130","БУРГАС","гр."
"NO","68080","СОПОТ","СОПОТ","4330","ПЛОВДИВ","гр."
"FULL","68134","СТОЛИЧНА","СОФИЯ","1000","СОФИЯ - ГРАД","гр."
"NO","17974","СРЕДЕЦ","СРЕДЕЦ","8300","БУРГАС","гр."
"NO","51980","СТАМБОЛИЙСКИ","СТАМБОЛИЙСКИ","4210","ПЛОВДИВ","гр."
"FULL","68850","СТАРА ЗАГОРА","СТАРА ЗАГОРА","6000","СТАРА ЗАГОРА","гр."
"NO","69633","СТРАЖИЦА","СТРАЖИЦА","5150","ВЕЛИКО ТЪРНОВО","гр."
"NO","69660","СТРАЛДЖА","СТРАЛДЖА","8680","ЯМБОЛ","гр."
"NO","69835","СТРЕЛЧА","СТРЕЛЧА","4530","ПАЗАРДЖИК","гр."
